,area_type,total_sqft,bathroom,balcony,price,site_location,BHK
0,Super built-up  Area,900.0,1.0,1,38.0,Alandi Road,1.0
1,Plot  Area,900.0,1.0,0,40.0,Alandi Road,1.0
2,Super built-up  Area,900.0,1.0,1,38.0,Alandi Road,1.0
3,Super built-up  Area,900.0,1.0,1,65.0,Alandi Road,1.0
4,Super built-up  Area,1056.0,2.0,1,39.07,Alandi Road,2.0
5,Super built-up  Area,1084.0,2.0,2,50.0,Alandi Road,2.0
6,Built-up  Area,1000.0,2.0,1,38.0,Alandi Road,2.0
7,Super built-up  Area,1230.0,2.0,2,80.0,Alandi Road,2.0
8,Built-up  Area,995.0,2.0,1,41.0,Alandi Road,2.0
9,Super built-up  Area,1360.0,2.0,1,95.0,Alandi Road,2.0
10,Built-up  Area,1040.0,2.0,2,50.0,Alandi Road,2.0
11,Super built-up  Area,1028.0,2.0,1,42.0,Alandi Road,2.0
12,Super built-up  Area,1300.0,2.0,3,57.0,Alandi Road,2.0
13,Built-up  Area,1012.0,2.0,1,59.0,Alandi Road,2.0
14,Super built-up  Area,1520.0,2.0,3,62.0,Alandi Road,2.0
15,Super built-up  Area,1165.0,2.0,1,135.0,Alandi Road,2.0
16,Super built-up  Area,950.0,2.0,1,46.5,Alandi Road,2.0
17,Super built-up  Area,1280.0,2.0,1,56.0,Alandi Road,2.0
18,Built-up  Area,1053.0,2.0,2,38.0,Alandi Road,2.0
19,Built-up  Area,1350.0,2.0,1,79.0,Alandi Road,2.0
20,Super built-up  Area,984.0,2.0,1,45.91,Alandi Road,2.0
21,Plot  Area,900.0,3.0,2,160.0,Alandi Road,2.0
22,Super built-up  Area,1225.0,2.0,2,55.0,Alandi Road,2.0
23,Built-up  Area,1100.0,2.0,1,50.0,Alandi Road,2.0
24,Super built-up  Area,1210.0,2.0,1,75.0,Alandi Road,2.0
25,Super built-up  Area,1250.0,2.0,2,72.0,Alandi Road,2.0
26,Super built-up  Area,900.0,2.0,2,42.0,Alandi Road,2.0
27,Super built-up  Area,1075.0,2.0,2,52.43,Alandi Road,2.0
28,Super built-up  Area,1265.0,2.0,2,82.0,Alandi Road,2.0
29,Super built-up  Area,900.0,2.0,1,41.0,Alandi Road,2.0
30,Built-up  Area,1100.0,2.0,1,48.0,Alandi Road,2.0
31,Super built-up  Area,1300.0,2.0,2,98.0,Alandi Road,2.0
32,Super built-up  Area,937.0,2.0,1,38.0,Alandi Road,2.0
33,Super built-up  Area,1000.0,2.0,2,58.0,Alandi Road,2.0
34,Super built-up  Area,900.0,2.0,0,43.0,Alandi Road,2.0
35,Super built-up  Area,1265.0,2.0,2,46.6,Alandi Road,2.0
36,Super built-up  Area,1008.0,2.0,2,38.0,Alandi Road,2.0
37,Built-up  Area,1102.0,2.0,0,52.0,Alandi Road,2.0
38,Super built-up  Area,1020.0,2.0,1,46.5,Alandi Road,2.0
39,Super built-up  Area,1181.0,2.0,1,75.0,Alandi Road,2.0
